Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka
Świętokrzyskie,2022,24.0,8376.0,4097.0,372.0,43.0,49388.0,658.0,1178164.0,5202.0
Świętokrzyskie,2023,24.0,8811.0,4911.0,367.0,44.0,48470.0,670.0,1168499.0,5218.0
Świętokrzyskie,2024,25.0,8985.0,5029.0,350.0,42.0,48747.0,683.0,1157991.0,5307.0
Warmińsko-Mazurskie,2009,37.0,7398.0,4548.0,353.0,42.0,177187.0,689.0,1427118.0,6056.0
Warmińsko-Mazurskie,2010,37.0,7172.0,4532.0,366.0,46.0,176371.0,710.0,1453782.0,5985.0
Warmińsko-Mazurskie,2011,39.0,7767.0,4748.0,380.0,42.0,168842.0,806.0,1452596.0,6282.0
Warmińsko-Mazurskie,2012,43.0,7959.0,5301.0,388.0,44.0,165874.0,805.0,1450697.0,6700.0
Warmińsko-Mazurskie,2013,42.0,8235.0,5456.0,401.0,45.0,172031.0,810.0,1446915.0,6675.0
Warmińsko-Mazurskie,2014,44.0,8134.0,5798.0,416.0,44.0,163916.0,827.0,1443967.0,6639.0
Warmińsko-Mazurskie,2015,43.0,7774.0,5577.0,411.0,45.0,156362.0,831.0,1439675.0,6668.0
Warmińsko-Mazurskie,2016,45.0,8301.0,6127.0,428.0,44.0,140244.0,870.0,1436367.0,6757.0
Warmińsko-Mazurskie,2017,44.0,8227.0,5826.0,439.0,42.0,125898.0,869.0,1433945.0,6709.0
Warmińsko-Mazurskie,2018,43.0,7799.0,5313.0,432.0,41.0,115517.0,856.0,1428983.0,6411.0
Warmińsko-Mazurskie,2019,39.0,8483.0,6032.0,413.0,40.0,106374.0,870.0,1422737.0,6241.0
Warmińsko-Mazurskie,2020,41.0,8493.0,5785.0,406.0,37.0,98313.0,866.0,1385622.0,6381.0
Warmińsko-Mazurskie,2021,42.0,9191.0,3777.0,395.0,34.0,84868.0,885.0,1374699.0,6425.0
